City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Faanui,PF,-16.4833,-151.75,79.03,76,65,15.39,broken clouds
171,Manono,CD,-7.3,27.4167,72.75,38,2,3.11,clear sky
172,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,9.22,few clouds
173,Siuna,NI,13.7332,-84.7773,79.65,85,94,4.5,overcast clouds
174,Chateauneuf-Les-Martigues,FR,43.3833,5.1667,71.53,61,0,4.61,clear sky
175,Ahipara,NZ,-35.1667,173.1667,54.52,83,21,28.79,few clouds
176,Nagato,JP,34.3833,131.2,79.2,78,96,10.42,overcast clouds
177,Lisala,CD,2.15,21.5167,71.64,81,96,1.14,overcast clouds
178,Victoria,HK,22.2855,114.1577,83.32,92,100,1.99,light rain
179,Roald,NO,62.5833,6.1333,53.01,76,90,11.5,overcast clouds
180,Pesochnoye,RU,58.006,39.1772,67.39,90,75,12.39,moderate rain
181,Sur,OM,22.5667,59.5289,87.98,58,62,10.38,broken clouds
182,Mahebourg,MU,-20.4081,57.7,67.1,70,1,2.68,clear sky
183,Ballina,AU,-28.8667,153.5667,63.79,90,100,7.94,overcast clouds
184,Arlit,NE,18.7369,7.3853,91.29,33,90,10.83,overcast clouds
185,Narsaq,GL,60.9167,-46.05,45.3,94,92,6.46,overcast clouds
186,Anadyr,RU,64.75,177.4833,43.3,93,90,21.99,light rain
187,Acapulco,MX,16.8634,-99.8901,86.47,73,34,7.25,scattered clouds
188,Kaihua,CN,23.3687,104.28,64.45,89,32,4.25,scattered clouds
189,Santa Maria,BR,-29.6842,-53.8069,50.47,80,0,0.96,clear sky
190,Kabanjahe,ID,3.1001,98.4908,63.36,94,100,2.8,overcast clouds
191,Bengkulu,ID,-3.8004,102.2655,74.88,88,55,3.42,broken clouds
192,Toamasina,MG,-18.1667,49.3833,65.16,92,5,3.74,clear sky
193,Tatarskaya Kargala,RU,51.9495,55.1731,68.02,42,13,5.3,few clouds
194,Jizan,SA,17.3333,42.6667,85.71,60,100,6.4,overcast clouds
195,Normandin,CA,48.8333,-72.5321,63.61,62,84,5.88,broken clouds
196,Saint George,US,37.1041,-113.5841,103.39,18,1,3.0,clear sky
197,Haines Junction,CA,60.7522,-137.5108,75.54,42,95,4.09,overcast clouds
198,Broken Hill,AU,-31.95,141.4333,46.2,74,5,17.31,clear sky
199,Bantou,CN,26.2151,117.4893,77.13,96,100,1.03,overcast clouds
200,Lanzhou,CN,36.0564,103.7922,66.49,71,100,9.6,light rain
201,Laje,BR,-10.1833,-40.9667,64.22,86,91,10.49,overcast clouds
202,Adre,TD,13.4667,22.2,73.71,84,92,11.48,overcast clouds
203,Tobane,BW,-21.95,27.9,60.46,23,0,13.51,clear sky
204,Cayenne,GF,4.9333,-52.3333,80.1,83,37,1.14,scattered clouds
205,Kangaatsiaq,GL,68.3065,-53.4641,42.46,92,28,15.75,scattered clouds
206,Tiznit,MA,29.5833,-9.5,65.66,76,22,4.47,few clouds
207,Port Hardy,CA,50.6996,-127.4199,63.1,71,23,11.16,few clouds
208,Ostrovnoy,RU,68.0531,39.5131,51.1,97,77,5.14,broken clouds
209,Bredasdorp,ZA,-34.5322,20.0403,56.28,97,19,4.18,few clouds
210,Bururi,BI,-3.85,29.6333,60.71,54,71,0.72,broken clouds
211,Antalaha,MG,-14.9003,50.2788,64.99,89,4,5.17,clear sky
212,Mudgee,AU,-32.5943,149.5871,53.65,82,75,11.5,broken clouds
213,Gorele,TR,41.0308,39.0031,76.44,86,8,3.67,clear sky
214,Quchan,IR,37.106,58.5095,68.09,23,15,6.96,few clouds
215,Eureka,US,40.8021,-124.1637,69.21,73,40,4.0,scattered clouds
216,Vardo,NO,70.3705,31.1107,47.35,83,26,2.24,scattered clouds
217,Lithgow,AU,-33.4833,150.15,47.48,89,81,13.6,broken clouds
218,Nikolskoye,RU,59.7035,30.7861,62.78,98,100,13.62,light rain
219,Amnat Charoen,TH,15.9167,104.75,76.08,90,100,10.6,overcast clouds
